method,label,ce,ce_degradation,mse,mean_l0,total_params,training_tokens,L0_dict_size,L0_alive,L0_dead_pct,L0_l0,L0_mean_act,L1_dict_size,L1_alive,L1_dead_pct,L1_l0,L1_mean_act,L2_dict_size,L2_alive,L2_dead_pct,L2_l0,L2_mean_act,L3_dict_size,L3_alive,L3_dead_pct,L3_l0,L3_mean_act
Transcoder,TC k=8,5.016252,2.193292,0.05551469,8.00,25185280,500000000,4096,3489,0.1482,8.00,1.310041,4096,693,0.8308,8.00,1.041623,4096,2115,0.4836,8.00,2.096319,4096,3705,0.0955,8.00,4.928821
Transcoder,TC k=16,4.681020,1.858060,0.07255266,16.00,25185280,500000000,4096,3409,0.1677,16.00,0.933366,4096,979,0.7610,16.00,0.758436,4096,1724,0.5791,16.00,1.675451,4096,3852,0.0596,16.00,3.803455
Transcoder,TC k=32,4.582324,1.759364,0.08879191,32.00,25185280,500000000,4096,3542,0.1353,32.00,0.612274,4096,1437,0.6492,32.00,0.582238,4096,1858,0.5464,32.00,1.255297,4096,3913,0.0447,32.00,2.972643
Transcoder,TC k=64,4.221102,1.398142,0.08712387,64.00,25185280,500000000,4096,3720,0.0918,64.00,0.402654,4096,1859,0.5461,64.00,0.404711,4096,2203,0.4622,64.00,0.928920,4096,3771,0.0793,64.00,2.223381
CLT,CLT k=8,3.987884,1.164925,0.03531019,8.00,44059648,500000000,4096,1815,0.5569,8.00,1.171595,4096,935,0.7717,8.00,0.907906,4096,2058,0.4976,8.00,1.380376,4096,3712,0.0938,8.00,2.738198
CLT,CLT k=16,3.633439,0.810480,0.02904511,16.00,44059648,500000000,4096,3224,0.2129,16.00,0.784652,4096,2091,0.4895,16.00,0.616832,4096,1981,0.5164,16.00,0.939802,4096,3895,0.0491,16.00,1.972362
SPD,SPD c_fc (CI>0.5),3.681902,0.858943,0.16517105,9.44,62914560,,4096,1936,0.5273,10.43,,4096,542,0.8677,5.75,,4096,1006,0.7544,7.12,,4096,1629,0.6023,14.44,
SPD,SPD down_proj (CI>0.5),3.681902,0.858943,0.16517105,9.43,47185920,,3072,1442,0.5306,12.22,,3072,430,0.8600,4.64,,3072,1454,0.5267,6.82,,3072,2403,0.2178,14.03,
SPD,SPD total (CI>0.5),3.681902,0.858943,0.16517105,75.45,110100480,,7168,3378,0.5287,22.64,,7168,972,0.8644,10.40,,7168,2460,0.6568,13.94,,7168,4032,0.4375,28.47,
SPD,SPD c_fc (CI>0),3.261904,0.438944,0.15588673,16.11,62914560,,4096,2575,0.3713,20.11,,4096,1298,0.6831,8.91,,4096,1598,0.6099,11.94,,4096,2109,0.4851,23.49,
SPD,SPD down_proj (CI>0),3.261904,0.438944,0.15588673,16.94,47185920,,3072,1906,0.3796,22.75,,3072,1057,0.6559,7.48,,3072,1810,0.4108,12.55,,3072,2574,0.1621,24.99,
SPD,SPD total (CI>0),3.261904,0.438944,0.15588673,132.23,110100480,,7168,4481,0.3749,42.87,,7168,2355,0.6715,16.39,,7168,3408,0.5246,24.49,,7168,4683,0.3467,48.49,
